customer_unique_id,avg_integrity_score,has_mismatch
000ec5bff359e1c0ad76a81a45cb598f,0.043861349834716346,0
0010a452c6d13139e50b57f19f52e04e,0.29064040355313725,0
0035029989e6fc5cf030918a5f9f2037,0.027864690148435622,0
003d56767e53e08671de00da3fba8d40,0.35414489448619546,0
004177f7bf62929186b32c7fdaa6157b,0.057152956757141445,0
004288347e5e88a27ded2bb23747066c,0.0326299298490326,0
0056f26cb8f20916c3baa0e39fc30709,0.006307758335188571,0
007ad549acb91673f04eac22c0568114,0.22394940509262523,0
007b8307b6448f0425ff2001f00c1bdb,0.07160824930113469,0
0085139b503668b3addcfe826d91be8d,0.09808562817091562,1
008778a1591d49f6b2464dffaa4fa662,0.010292315087670588,0
008ea5bdd1a99fb584cce7739349da75,0.32819608159221725,0
0093dbe7f479386a92095026decf825d,0.9071569711234297,1
00ad4e6c01a3039fa1b45eaadb4222e4,0.03491229802169554,0
00b0595d2b0f0b838edb7fbc749ea644,0.013334454448724142,0
00c0bbc49a530c07c110d269211da046,0.0555332563071239,0
00d7812c158831a996a6b3f4698643b5,0.3400109145611115,0
00e5dfd6ee7406a69b74c72795e6f354,0.36633501608608693,0
00eca7e1c994897d0a31bf75478f4b55,0.027872331601591516,0
010a0365ab237a5e2fed9d945121b627,0.2341554184874891,0
013dd47ed31ce4de00cb434b2cae5386,0.09247927209419961,0
013f66477aa3210eb05fec3fa184de33,0.2672344360103231,0
014593e48e9119391b9c70206fcadca8,0.3218999532242173,0
01462a1d33f1b303bead3ec1ae2c4f7e,0.3559847580802851,0
0165dc4e0c64d7c1e17757ab8676f213,0.0015503331915305003,0
0167a6f5d58d5632b42c44e7f66f2abf,0.21336236463311523,0
016a528e7cb02b29de37ea55cf89b9d1,0.17688251778422526,0
01769144da2a7ea21cc6163452b5824d,0.437523697476226,0
0181f57a87c6a2f0e0fe2807f67aef0e,0.04752338897446212,0
0185135ffdd866d3a29efa833ac0829b,0.0032812582129473893,0
01922cf678f7c6d925421a273a885fbf,0.20642040010901225,0
01a8a2fa13dad647949ff57927e63b0d,0.0416896050873854,0
01cbe0a1a969bf0936fd97298ae18cc8,0.025808993649109515,0
01d46b5cad3cda9c22f52df41197a671,0.2802164590395857,0
01ecc1f1f21f05d0736c99d92646f132,0.26393091459022716,0
01f492ebceb9747c71cb86d983afb9e0,0.10892220211430173,0
01fdfc6e1f85ad504461c6699adb246c,0.34736705597602924,0
021dbb48a965542d846e18a6799d37c0,0.058843164112075096,0
0220755d57fdf6a1f63f39f51bb5fb90,0.40976994934237754,1
022130229ad6d7d853447a4b0979b2dd,0.38941506273211685,1
023571745d76e09f8bd5477af28f605e,0.5111210612154221,1
023a67e0df63273fa1f49cd71fd3eb61,0.17798180450385562,1
0242e42b2210c764b47e099ddeacd742,0.103906679240707,0
025fef1b215081d46d39595c7b67c9a5,0.02739793496152477,0
0274b33316518523077f46c699109015,0.03805262704690578,0
0280c3bae373e59fd0f564cf9b0188a1,0.3289726643861975,0
029b457bd01199c39136f89e0eddcd3a,0.02486159017966848,0
02a3fc88421c4bb19b14420b7d1b6bd3,0.35820321947158,0
02a7760053385280fc193a50d86f69d1,0.3989250188787693,0
02b9defff3fd946df37af806a194a49b,0.4454353760254498,0
02ba7b822bc05258fc0b790a1a54bc36,0.2862184440803293,1
02bb0a3e6081abdf2c4d03d0069166b8,0.07149505663129313,0
02cbdaaf4623b20082e2a5f80534a1af,0.7602385637767636,1
02ccceb879088a0253e1e46e0200bdb8,0.5988856292175894,1
